meal_type,celebrity_slug,title,key_ingredients,description
lunch,lebron-james,Turkey and Quinoa Stuffed Peppers,Bell Pepper; Ground Turkey; Quinoa; Yellow Onion; Garlic; Tomato Sauce,Peppers stuffed with turkey and quinoa
lunch,cristiano-ronaldo,Turkey and Sweet Potato Meal Prep Bowl,Ground Turkey; Sweet Potato; Broccoli; Garlic Powder; Onion Powder; Extra Virgin Olive Oil,Ground turkey with sweet potato and broccoli
lunch,dwayne-johnson,Turkey Breast and Sweet Potato Plate,Turkey Breast; Sweet Potato; Green Beans; Extra Virgin Olive Oil,Turkey breast with sweet potato and green beans
lunch,tia-clair-toomey,Turkey Mince & Jasmine Rice Bowl with Avocado,Ground Turkey; Jasmine Rice; Avocado; Garlic; Coconut Aminos; Avocado Oil,"Seasoned ground turkey browned in a pan, served over fluffy jasmine rice and topped with creamy sliced avocado — a classic lean-protein mid-day performance plate."
lunch,cameron-diaz,Whole-Wheat Pasta with White Beans and Collard Greens,Whole Wheat Pasta; White Beans; Collard Greens; Tomato; Extra Virgin Olive Oil; Garlic,"Whole-wheat pasta tossed with white beans, ribboned collard greens wilted in pasta water, diced fresh tomato, and a lemon-olive oil finish."
lunch,gwyneth-paltrow,Wild Salmon and Arugula Salad,Salmon Fillet; Arugula; Fennel; Avocado; Extra Virgin Olive Oil; Lemon,Wild salmon over arugula with fennel
lunch,tom-brady,Wild Salmon and Brown Rice Bowl,Salmon Fillet; Brown Rice; Broccoli; Avocado; Extra Virgin Olive Oil,Wild salmon and brown rice with avocado
lunch,joaquin-phoenix,Zucchini Noodle and Pesto Bowl,Zucchini; Basil; Pine Nuts; Garlic; Extra Virgin Olive Oil; Nutritional Yeast,Zucchini noodles with pine-nut pesto
snack,lebron-james,Almond Butter and Banana Rice Cake,Rice Cakes; Almond Butter; Banana,Rice cake with almond butter and banana
snack,lindsey-vonn,Almond Butter and Kiwi Snack Plate,Almond Butter; Kiwi; Almonds,"Sliced fresh kiwi served alongside almond butter and a small handful of whole almonds for a simple snack delivering healthy fats, antioxidants, and vitamin C."
snack,ariana-grande,Almond Butter Banana Bites,Banana; Almond Butter; Chia Seeds; Cacao Nibs,Banana bites with almond butter and cacao nibs
snack,madelaine-petsch,Almond Butter Banana Bites with Cacao Nibs,Banana; Almond Butter; Cacao Nibs,Banana rounds topped with a small dollop of almond butter and finished with a few cacao nibs for crunch — a minimal two-minute whole-food snack.
snack,natalie-portman,Almond Energy Bites,Medjool Dates; Almond Butter; Rolled Oats; Chia Seeds,Date and almond butter oat bites
snack,gwyneth-paltrow,Almond-Crusted Protein Bites,Medjool Dates; Almond Butter; Coconut Flakes; Almonds,Date and almond butter bites
snack,jennifer-aniston,Almonds and Dark Chocolate,Almonds; Dark Chocolate,Almonds with dark chocolate
snack,dwayne-johnson,Almonds and Dried Fruit,Almonds; Dried Apricots,Almonds with dried apricots
snack,lindsey-vonn,"Almonds, Kiwi and Blueberries",Almonds; Kiwi; Blueberries,"Lindsey Vonn's documented snack: a simple trio of raw almonds, fresh kiwi, and blueberries that delivers healthy fats, antioxidants, and natural sugars for a quick energy refuel between meals or before a lighter training session."
snack,cameron-diaz,"Almonds, Walnuts, and Dark Chocolate Bites",Almonds; Walnuts; Dark Chocolate,A handful of mixed almonds and walnuts paired with a square of dark chocolate — a satisfying whole-food snack that replaces processed sweets.
snack,jennifer-aniston,Apple and Walnut Snack,Apple; Walnuts,Apple slices with walnuts
snack,beyonce,Apple Slices with Cashew Butter,Apple; Cashew Butter; Cinnamon,Apple slices with cashew butter and cinnamon
snack,natalie-portman,Apple with Peanut Butter,Apple; Peanut Butter,Apple slices with peanut butter
snack,tabitha-brown,Avocado and Hemp Seed Smash on Bread,Whole Wheat Bread; Avocado; Hemp Seeds; Tomato; Sea Salt; Black Pepper,"Half an avocado mashed onto a slice of toasted whole wheat bread, topped with thin tomato slices and a sprinkle of hemp seeds."
snack,tom-brady,Avocado and Seeds Snack,Avocado; Pumpkin Seeds; Sea Salt,Avocado with pumpkin seeds and salt
snack,gisele-bundchen,Avocado on Gluten-Free Toast with Seeds,Avocado; Ezekiel Bread; Sunflower Seeds; Pumpkin Seeds; Sea Salt; Black Pepper,"Mashed ripe avocado spread onto a toasted slice of Ezekiel bread, scattered with sunflower and pumpkin seeds for a light, satiating mid-day or pre-workout snack."
snack,tia-clair-toomey,Bacon & Egg Bites with Blueberries,Eggs; Bacon; Blueberries; Sea Salt; Black Pepper; Avocado Oil,"Egg muffins made with whisked eggs and crumbled cooked bacon baked in a muffin tin until set, served alongside fresh blueberries for a sweet antioxidant contrast."
snack,tia-clair-toomey,Banana & Blueberry Protein Shake,Banana; Blueberries; Rolled Oats; Whey Protein Powder; Almond Milk,"Banana, blueberries, rolled oats, and a scoop of whey protein blended with water into a thick post-training shake that replenishes glycogen and delivers antioxidants."
snack,megan-thee-stallion,Banana Almond Milk Protein Shake,Banana; Almond Milk; Plant Protein Powder,"A quick two-ingredient protein shake blending banana with almond milk and a scoop of plant protein — minimal prep, high protein between meals."
snack,madelaine-petsch,Berry and Nut Trail Mix,Almonds; Walnuts; Cashews; Raspberries,"A simple handful-ready mix of almonds, walnuts, cashews, and raspberries for a portable whole-food snack with natural sweetness from the fruit."
snack,megan-thee-stallion,Blueberry Greek Yogurt Bowl,Greek Yogurt; Blueberries; Honey,"Plain Greek yogurt topped with fresh blueberries — a no-prep snack with high protein and a bright, antioxidant-rich topping."
snack,tom-brady,Bone Broth Cup,Bone Broth; Turmeric; Sea Salt,Warm bone broth with turmeric
snack,gwyneth-paltrow,Bone Broth Sipping Cup,Bone Broth; Sea Salt; Turmeric,Warm bone broth with turmeric
snack,tabitha-brown,Carrot Sticks and Hummus,Carrot; Hummus,Crisp carrot sticks served alongside creamy hummus — Tabitha's go-to simple snack that keeps energy steady between meals.
snack,gisele-bundchen,"Coconut Butter, Fruit, and Seeds Bowl",Coconut Oil; Mango; Chia Seeds,Sliced mango drizzled with softened coconut oil and sprinkled with chia seeds for a clean energy snack built on healthy fats and natural fruit sugars with no added sugar.
snack,cristiano-ronaldo,Cottage Cheese and Fruit Bowl,Cottage Cheese; Strawberries; Blueberries; Pumpkin Seeds,Cottage cheese with berries and pumpkin seeds
snack,cameron-diaz,Crispy Roasted Chickpeas with Lemon,Chickpeas; Extra Virgin Olive Oil; Lemon; Sea Salt; Black Pepper; Paprika,"Chickpeas tossed in olive oil and roasted at high heat until golden and crispy, then squeezed with fresh lemon straight from the oven for a crunchy, portable snack."
snack,gwyneth-paltrow,Cucumber Avocado Bites,Cucumber; Avocado; Sea Salt; Chili Flakes,Cucumber rounds topped with avocado
snack,gisele-bundchen,Dark Chocolate and Almond Energy Snack,Almonds; Dark Chocolate,A handful of raw almonds paired with two squares of dark chocolate — a satisfying whole-foods treat that avoids refined sugar.
snack,lindsey-vonn,"Dark Chocolate, Almonds, and Blueberries",Dark Chocolate; Almonds; Blueberries,A post-training treat of antioxidant-rich dark chocolate squares paired with raw almonds and fresh blueberries for a satisfying whole-food snack.
snack,gisele-bundchen,"Dark Chocolate, Nuts, and Fruit Snack Pack",Dark Chocolate; Almonds; Apple,Two squares of 70% dark chocolate with a small handful of almonds and sliced apple — a whole-food snack that satisfies a sweet craving with no refined sugar.
snack,ariana-grande,Edamame Hummus with Veggie Sticks,Edamame; Tahini; Lemon; Garlic; Sesame Oil; Cucumber,Edamame hummus with crunchy veggie sticks
snack,dwayne-johnson,Egg Whites and Toast,Egg Whites; Ezekiel Bread,Egg whites on Ezekiel toast
snack,beyonce,Energy Date Balls,Medjool Dates; Almond Butter; Rolled Oats; Cacao Powder; Coconut Flakes,Date and oat balls with almond butter
snack,joaquin-phoenix,Fresh Fruit Plate,Apple; Orange; Kiwi,"Apple, orange, and kiwi plate"
snack,megan-thee-stallion,Greek Yogurt Parfait with Granola and Berries,Greek Yogurt; Granola; Blueberries; Strawberries; Honey,"Layered Greek yogurt with crunchy granola, fresh blueberries, and sliced strawberries — a satisfying high-protein snack that Megan has cited as a staple between meals."
snack,lebron-james,Greek Yogurt Protein Shake,Greek Yogurt; Frozen Mixed Berries; Honey,Greek yogurt shake with berries and honey
snack,jennifer-aniston,Greek Yogurt with Cucumber and Dill,Greek Yogurt; Cucumber; Dill; Lemon,Greek yogurt with cucumber and dill
snack,cristiano-ronaldo,Greek Yogurt with Honey and Walnuts,Greek Yogurt; Honey; Walnuts,Greek yogurt with honey and walnuts
snack,cristiano-ronaldo,Hard-Boiled Eggs with Avocado,Eggs; Avocado; Sea Salt,Hard-boiled eggs with sliced avocado
snack,natalie-portman,Hummus and Veggie Plate,Hummus; Carrot; Cucumber; Bell Pepper,"Hummus with carrot, cucumber, and peppers"
snack,cameron-diaz,Lemon-Marinated White Bean Dip,White Beans; Extra Virgin Olive Oil; Lemon; Garlic; Sea Salt; Black Pepper,"White beans mashed with extra virgin olive oil and fresh lemon juice into a smooth, creamy dip, served with raw vegetables or enjoyed on its own as an afternoon snack."
snack,ariana-grande,Miso-Glazed Rice Cakes,Rice Cakes; White Miso Paste; Maple Syrup; Sesame Seeds; Nori Sheets,Rice cakes with sweet miso glaze and nori
snack,gwyneth-paltrow,Mixed Nuts and Berries,Almonds; Walnuts; Blueberries,Almonds and walnuts with blueberries
snack,tom-brady,Mixed Nuts and Dried Fruit,Almonds; Pecans; Dried Cranberries,Almonds and pecans with cranberries
snack,madelaine-petsch,No-Bake Oat and Almond Butter Energy Balls,Rolled Oats; Almond Butter; Frozen Banana; Cacao Nibs,"Thawed frozen banana blended with almond butter, mixed into rolled oats and cacao nibs, rolled into compact balls, and chilled until firm."
snack,tia-clair-toomey,No-Bake Peanut Butter Oat Protein Balls,Rolled Oats; Whey Protein Powder; Peanut Butter; Banana; Honey,"Mashed banana folded into rolled oats, whey protein, and peanut butter, rolled into balls and chilled — a convenient grab-and-go post-WOD snack delivering fast carbs and protein."
snack,joaquin-phoenix,Nuts and Seeds Mix,Walnuts; Almonds; Pumpkin Seeds; Hemp Seeds,Mixed nuts with hemp and pumpkin seeds
snack,jennifer-aniston,Olives and Hummus Plate,Kalamata Olives; Hummus; Carrot; Cucumber,Olives and hummus with veggie sticks
snack,madelaine-petsch,One-Ingredient Banana Ice Cream with Almond Butter,Frozen Banana; Almond Butter,"Frozen banana blended into silky, naturally sweet ice cream swirled with almond butter — a simple whole-food dessert snack."
snack,dwayne-johnson,Peanut Butter Rice Cakes,Rice Cakes; Peanut Butter; Honey,Rice cakes with peanut butter and honey
snack,lindsey-vonn,Peanut Butter with Blueberries and Almonds,Peanut Butter; Blueberries; Almonds,"A no-prep snack plate of peanut butter, fresh blueberries, and raw almonds combining healthy fats, antioxidants, and quick natural energy."
snack,tia-clair-toomey,Post-WOD Oat Protein Shake,Rolled Oats; Banana; Whey Protein Powder; Almond Milk; Peanut Butter; Honey,"Blended rolled oats, banana, and whey protein create a fast-digesting post-workout snack that replenishes glycogen and kickstarts muscle repair after an intense CrossFit session."
snack,lindsey-vonn,"Post-Workout Egg White Omelet with Chicken, Broccoli and Bell Pepper",Egg Whites; Chicken Breast; Broccoli; Bell Pepper; Extra Virgin Olive Oil; Sea Salt,"A lean, high-protein post-workout meal documented in Lindsey Vonn's performance nutrition plan. Egg whites and chicken breast deliver a rapid protein hit with minimal fat, while broccoli and bell pepper add micronutrients to support recovery."
snack,lebron-james,Protein Bar Smoothie Bowl,Frozen Banana; Whey Protein Powder; Almond Milk; Granola; Strawberries,Protein smoothie bowl with granola and strawberries
snack,dwayne-johnson,Protein Pudding,Whey Protein Powder; Greek Yogurt; Strawberries,Whey protein pudding with strawberries
snack,cristiano-ronaldo,Protein Shake with Banana,Whey Protein Powder; Banana; Almond Milk,Whey protein shake with banana
snack,joaquin-phoenix,Raw Cashew and Date Bites,Raw Cashews; Medjool Dates,No-bake cashew and date bites
snack,ariana-grande,Roasted Chickpea Trail Mix,Chickpeas; Extra Virgin Olive Oil; Cumin; Smoked Paprika; Almonds; Dried Cranberries,Spiced roasted chickpeas with almonds and cranberries
snack,joaquin-phoenix,Sliced Veggies with Tahini,Carrot; Cucumber; Celery; Tahini,Raw veggie sticks with tahini
snack,beyonce,Spiced Roasted Chickpeas,Chickpeas; Extra Virgin Olive Oil; Smoked Paprika; Cumin; Cayenne Pepper,Smoky paprika roasted chickpeas
snack,megan-thee-stallion,Strawberry Banana Protein Smoothie (Snack Size),Strawberries; Frozen Banana; Almond Milk; Plant Protein Powder,A smaller-portion strawberry-banana protein smoothie blended with almond milk — a between-meal shake using the same core ingredients as the signature breakfast smoothie.
snack,tom-brady,TB12 Protein Bites,Medjool Dates; Almond Butter; Rolled Oats; Hemp Seeds,Date and almond butter oat bites
snack,tabitha-brown,Tempeh Bites with Carrot Sticks,Tempeh; Carrot; Avocado Oil; Tamari; Smoked Paprika,"Bite-sized cubes of tempeh pan-fried until golden and crispy, served alongside fresh raw carrot sticks."
snack,lebron-james,Trail Mix Power Pack,Almonds; Walnuts; Dried Cranberries; Dark Chocolate,"Nuts, cranberries, and dark chocolate trail mix"
snack,natalie-portman,Trail Mix with Dried Fruit,Walnuts; Almonds; Dried Cranberries; Raisins,Nuts with cranberries and raisins
snack,tabitha-brown,Vegan Cheese and Tomato Open-Face Toast,Whole Wheat Bread; Vegan Cheese; Tomato; Hemp Seeds,"A slice of toasted whole wheat bread topped with melted vegan cheese, fresh tomato slices, and a sprinkle of hemp seeds."
snack,beyonce,Veggies and Hummus Plate,Hummus; Carrot; Cucumber; Bell Pepper; Celery,Fresh veggies with hummus
snack,cameron-diaz,Zucchini Slices with Lemon Olive Oil Drizzle,Zucchini; Extra Virgin Olive Oil; Lemon; Sea Salt; Black Pepper,"Thinly sliced raw or lightly grilled zucchini drizzled with extra virgin olive oil and fresh lemon juice for a minimal, low-calorie between-meal snack."
dinner,lebron-james,Baked Chicken Thighs with Root Vegetables,Chicken Breast; Carrot; Sweet Potato; Yellow Onion; Paprika; Garlic,Baked chicken with carrot and sweet potato
dinner,cristiano-ronaldo,Baked Cod with Roasted Vegetables,Cod Fillet; Cherry Tomatoes; Zucchini; Bell Pepper; Extra Virgin Olive Oil; Lemon,Baked cod with zucchini and peppers
dinner,megan-thee-stallion,Baked Cod with Sweet Potato and Kale,Cod Fillet; Sweet Potato; Kale; Extra Virgin Olive Oil; Lemon; Paprika,Herb-seasoned cod fillets roasted alongside cubed sweet potato and sauteed kale — a nutrient-dense dinner that anchors Megan's fish-forward evening meals.
dinner,lindsey-vonn,Baked Salmon with Broccoli and Spinach,Salmon Fillet; Broccoli; Spinach; Extra Virgin Olive Oil; Garlic; Lemon,A simple sheet-pan dinner of herb-seasoned baked salmon fillet served alongside roasted broccoli on a bed of fresh or wilted spinach.
dinner,lindsey-vonn,Baked Salmon with Quinoa and Asparagus,Salmon Fillet; Quinoa; Asparagus; Extra Virgin Olive Oil; Lemon; Garlic,"Lindsey Vonn's documented dinner: omega-3-rich salmon fillet baked alongside tender asparagus spears, served over quinoa. This meal delivers approximately 53 grams of protein and 574 calories, supporting overnight muscle repair and recovery."
dinner,jennifer-aniston,Baked Salmon with Roasted Vegetables,Salmon Fillet; Asparagus; Cherry Tomatoes; Zucchini; Extra Virgin Olive Oil; Lemon,Baked salmon with asparagus and tomatoes
dinner,tom-brady,Baked Salmon with Steamed Greens,Salmon Fillet; Broccoli; Kale; Lemon; Dill; Extra Virgin Olive Oil,Baked salmon with broccoli and kale
dinner,megan-thee-stallion,Baked Salmon with Sweet Potato and Avocado,Salmon Fillet; Sweet Potato; Avocado; Extra Virgin Olive Oil; Lemon; Paprika,"Herb-seasoned baked salmon fillet served with roasted sweet potato wedges and fresh sliced avocado — a whole-food dinner plate with balanced protein, carbs, and fat."
dinner,gisele-bundchen,Bean and Vegetable Grain Bowl with Nuts,Millet; Black Beans; Avocado; Kale; Broccoli; Carrot,"Spiced black beans over millet, loaded with roasted broccoli, carrot, and bell pepper, alongside kale, crushed walnuts, and sliced avocado for a fully plant-based satisfying dinner."
dinner,tia-clair-toomey,Beef Liver & Jasmine Rice Power Plate,Beef Liver; Jasmine Rice; Eggs; Avocado Oil; Yellow Onion; Garlic,Pan-seared beef liver sliced and served over fluffy jasmine rice with soft-boiled eggs alongside — an iron- and micronutrient-dense recovery dinner.
dinner,madelaine-petsch,Black Bean and Broccoli Stir-Fry over Brown Rice,Broccoli; Black Beans; Spinach; Brown Rice; Extra Virgin Olive Oil; Garlic Powder,"Broccoli florets stir-fried in olive oil until tender-crisp, tossed with black beans and wilted spinach, served over a bed of cooked brown rice."
dinner,beyonce,Cauliflower and Chickpea Bake,Cauliflower; Chickpeas; Extra Virgin Olive Oil; Cumin; Paprika; Turmeric,Spiced cauliflower and chickpea bake with tahini
dinner,gwyneth-paltrow,Cauliflower Rice Risotto with Mushrooms,Cauliflower; Mushrooms; Shallot; Garlic; Bone Broth; Nutritional Yeast,Cauliflower-rice risotto with mushrooms
dinner,dwayne-johnson,Chicken and Quinoa Power Plate,Chicken Breast; Quinoa; Brussels Sprouts; Extra Virgin Olive Oil,Chicken and quinoa with Brussels sprouts
dinner,gwyneth-paltrow,Chicken and Vegetable Stir-Fry,Chicken Breast; Broccoli; Bell Pepper; Mushrooms; Avocado Oil; Coconut Aminos,Chicken stir-fry with broccoli and peppers
dinner,lindsey-vonn,"Chicken Breast with Asparagus, Mushrooms, and Quinoa",Chicken Breast; Asparagus; Mushrooms; Quinoa; Extra Virgin Olive Oil; Garlic,"A recovery dinner of roasted chicken breast alongside seared mushrooms and asparagus, served over a base of fluffy quinoa."
dinner,cristiano-ronaldo,Chicken Breast with Sweet Potato Mash,Chicken Breast; Sweet Potato; Broccoli; Extra Virgin Olive Oil; Rosemary; Garlic,Chicken breast with sweet potato mash
dinner,natalie-portman,Coconut Chickpea Curry,Chickpeas; Canned Coconut Milk; Tomato; Yellow Onion; Garlic; Ginger,Coconut chickpea curry over basmati rice
dinner,beyonce,Coconut Curry Lentil Stew,Lentils; Canned Coconut Milk; Vegetable Broth; Yellow Onion; Garlic; Ginger,Coconut lentil curry over brown rice
dinner,megan-thee-stallion,Cod and Sweet Potato Kale Mash,Cod Fillet; Sweet Potato; Kale; Extra Virgin Olive Oil; Lemon; Sea Salt,Baked cod fillet served alongside sweet potato mashed together with wilted kale — a lower-carb dinner that swaps brown rice for creamy sweet potato.
dinner,dwayne-johnson,Cod with Rice and Mixed Greens,Cod Fillet; White Rice; Mixed Greens; Extra Virgin Olive Oil; Lemon,Baked cod with rice and mixed greens
dinner,tabitha-brown,Creamy Vegan Mac and Cheese,Whole Wheat Pasta; Vegan Cheese; Raw Cashews; Oat Milk; Nutritional Yeast; Garlic Powder,"Whole wheat pasta smothered in a golden, cashew-and-vegan-cheese sauce boosted with nutritional yeast for a rich, comforting mac that satisfies without compromise."
dinner,gisele-bundchen,Fish and Vegetable Stew over Quinoa,Cod Fillet; Quinoa; White Beans; Spinach; Carrot; Zucchini,"Flaked cod simmered with carrot, zucchini, bell pepper, and white beans in a light broth, served over quinoa with spinach stirred in at the end for a warming omega-3-rich one-pot dinner."
dinner,jennifer-aniston,Grilled Chicken with Mediterranean Salad,Chicken Breast; Cucumber; Tomato; Kalamata Olives; Feta Cheese; Extra Virgin Olive Oil,Grilled chicken with cucumber-feta salad
dinner,cristiano-ronaldo,Grilled Salmon with Asparagus,Salmon Fillet; Asparagus; Lemon; Dill; Extra Virgin Olive Oil,Grilled salmon with asparagus and dill
dinner,dwayne-johnson,Grilled Sirloin with Potato and Veggies,Beef Sirloin; Russet Potato; Broccoli; Extra Virgin Olive Oil,Grilled sirloin with potato and broccoli
dinner,jennifer-aniston,Herb-Baked Cod with Artichokes,Cod Fillet; Artichoke Hearts; Kalamata Olives; Extra Virgin Olive Oil; Lemon; Oregano,Herb-baked cod with artichokes and olives
dinner,gisele-bundchen,Herb-Baked Salmon with Quinoa and Mixed Greens,Salmon Fillet; Quinoa; Vegetable Broth; Mixed Greens; Cucumber; Extra Virgin Olive Oil,"A light, omega-3-rich dinner: wild-caught salmon fillet baked with fresh herbs, served alongside fluffy quinoa and a simple mixed-greens salad dressed with lemon and olive oil."
dinner,gwyneth-paltrow,Herb-Crusted Salmon with Roasted Vegetables,Salmon Fillet; Asparagus; Zucchini; Parsley; Dill; Lemon,Herb salmon with asparagus and zucchini
dinner,lebron-james,Herb-Grilled Chicken with Quinoa Salad,Chicken Breast; Quinoa; Cherry Tomatoes; Cucumber; Extra Virgin Olive Oil; Lemon,Herb chicken with quinoa-tomato salad
dinner,tom-brady,Herb-Grilled Chicken with Root Vegetables,Chicken Breast; Sweet Potato; Carrot; Rosemary; Thyme; Extra Virgin Olive Oil,Herb chicken with sweet potato and carrot
dinner,gisele-bundchen,Herb-Roasted Chicken with Brown Rice and Leafy Greens,Chicken Breast; Brown Rice; Spinach; Broccoli; Zucchini; Bell Pepper,"Oven-roasted organic chicken breast alongside a medley of broccoli, zucchini, and bell pepper, served over brown rice with wilted spinach for a classic 80/20 plate where vegetables and grain outnumber the protein."
dinner,tia-clair-toomey,Herb-Roasted Pork Tenderloin with Smashed Potato and Avocado,Pork Tenderloin; Russet Potato; Avocado; Extra Virgin Olive Oil; Garlic; Rosemary,"Juicy oven-roasted pork tenderloin paired with a crispy smashed russet potato and creamy sliced avocado — a satisfying, protein-dense dinner that supports overnight muscle recovery."
dinner,tabitha-brown,Jackfruit Stuffed Whole Wheat Wraps,Whole Wheat Tortilla; Jackfruit; Vegan Cheese; Romaine Lettuce; Tomato; Avocado,"Seasoned pulled jackfruit with melted vegan cheese inside warm whole wheat tortillas, loaded with romaine, tomato, and avocado."
dinner,cristiano-ronaldo,Lean Beef Sirloin with Brown Rice,Beef Sirloin; Brown Rice; Green Beans; Garlic Powder; Sea Salt; Black Pepper,Lean sirloin with brown rice and green beans
dinner,tom-brady,Lean Chicken and Brown Rice Plate,Chicken Breast; Brown Rice; Asparagus; Extra Virgin Olive Oil; Thyme,Lean chicken with brown rice and asparagus
dinner,lebron-james,Lean Steak with Roasted Vegetables,Beef Sirloin; Brussels Sprouts; Sweet Potato; Garlic; Extra Virgin Olive Oil,Lean steak with sprouts and sweet potato
dinner,gwyneth-paltrow,Lemon-Herb Roasted Chicken with Sweet Potato,Chicken Breast; Sweet Potato; Green Beans; Lemon; Rosemary; Thyme,Lemon-herb chicken with sweet potato
dinner,cameron-diaz,Mediterranean Baked Salmon with Fennel and Artichokes,Salmon Fillet; Fennel; Artichoke Hearts; Extra Virgin Olive Oil; Lemon; Thyme,"Salmon fillet roasted alongside fennel and artichoke hearts with lemon, olive oil, and fresh herbs — a simple, elegant dinner centered on Mediterranean longevity staples."
dinner,cameron-diaz,Mediterranean Collard Green and Bean Stew,Collard Greens; Chickpeas; Tomato; Extra Virgin Olive Oil; Garlic; Lemon,"Collard greens braised low and slow with chickpeas, crushed tomato, and olive oil until the greens are silky and the broth is thick, finished with lemon."
dinner,ariana-grande,Mushroom and Edamame Donburi,White Rice; Shiitake Mushrooms; Edamame; Sesame Oil; Tamari; Maple Syrup,"Rice bowl with shiitake, edamame, and nori"
dinner,beyonce,Mushroom and Lentil Bolognese,Mushrooms; Lentils; Tomato Sauce; Yellow Onion; Garlic; Extra Virgin Olive Oil,Mushroom-lentil bolognese over whole wheat pasta
dinner,natalie-portman,Mushroom and Walnut Bolognese,Mushrooms; Walnuts; Tomato Sauce; Yellow Onion; Garlic; Oregano,Mushroom-walnut bolognese over whole wheat pasta
dinner,lebron-james,Pan-Seared Salmon with Sweet Potato and Broccoli,Salmon Fillet; Sweet Potato; Broccoli; Extra Virgin Olive Oil; Lemon,Salmon with sweet potato and broccoli
dinner,tabitha-brown,Pasta with Mushroom and Vegan Cheese Sauce,Whole Wheat Pasta; Mushrooms; Vegan Cheese; Tomato; Avocado Oil; Garlic Powder,"Whole wheat pasta tossed with sauteed mushrooms and diced tomato folded into a rich, glossy melted vegan cheese sauce."
dinner,tia-clair-toomey,Pork Tenderloin with Roasted Potato & Avocado,Pork Tenderloin; Russet Potato; Avocado; Extra Virgin Olive Oil; Garlic; Rosemary,"Herb-seasoned pork tenderloin and diced russet potato roasted together until golden, sliced and plated with fresh avocado — a lean-protein dinner with satisfying carbs and fat for overnight recovery."
dinner,tabitha-brown,Pulled Jackfruit Tacos,Jackfruit; Corn Tortillas; Avocado; Yellow Onion; Garlic; Cumin,"Smoky pulled jackfruit seasoned with cumin, smoked paprika, and black pepper, piled into corn tortillas with avocado and fresh cilantro."
dinner,madelaine-petsch,Quinoa-Stuffed Avocado with Spinach and Black Beans,Quinoa; Spinach; Black Beans; Avocado; Cacao Nibs; Sea Salt,"Avocado halves filled with warm quinoa, wilted spinach, and seasoned black beans, garnished with cacao nibs as a nutty finishing touch."
dinner,tom-brady,Quinoa-Stuffed Butternut Squash,Butternut Squash; Quinoa; Dried Cranberries; Pecans; Sage; Extra Virgin Olive Oil,Butternut squash stuffed with quinoa and pecans
dinner,cameron-diaz,Quinoa-Stuffed Zucchini with Tomato and Chickpeas,Quinoa; Zucchini; Tomato; Chickpeas; Extra Virgin Olive Oil; Lemon,"Zucchini halves hollowed out and filled with cooked quinoa mixed with crushed tomato and chickpeas, drizzled with olive oil and roasted until tender, served with lemon wedges."
dinner,joaquin-phoenix,Raw Cashew Pad Thai,Zucchini; Carrot; Raw Cashews; Lime; Tamari; Ginger,Raw veggie noodles with cashew-lime sauce
dinner,madelaine-petsch,Roasted Broccoli Steaks with Brown Rice and Black Beans,Broccoli; Brown Rice; Black Beans; Yellow Onion; Garlic; Extra Virgin Olive Oil,Thick broccoli florets roasted until caramelised and served over brown rice and spiced black beans — a satisfying whole-food vegan dinner.
dinner,joaquin-phoenix,Roasted Cauliflower with Chickpeas and Tahini,Cauliflower; Chickpeas; Extra Virgin Olive Oil; Cumin; Tahini; Lemon,Roasted cauliflower and chickpeas with tahini
dinner,lindsey-vonn,"Salmon with Bell Pepper, Onion, and Broccoli",Salmon Fillet; Bell Pepper; Yellow Onion; Broccoli; Extra Virgin Olive Oil; Garlic,"Pan-seared salmon fillet served alongside roasted broccoli and a quick saute of sliced bell pepper and yellow onion for a low-carb, micronutrient-rich dinner."
dinner,megan-thee-stallion,Salmon with Brown Rice and Kale,Salmon Fillet; Brown Rice; Kale; Extra Virgin Olive Oil; Lemon; Sea Salt,"Oven-roasted salmon fillet alongside steamed brown rice and sauteed kale — a streamlined, satisfying dinner with clean flavors."
dinner,dwayne-johnson,Salmon with Sweet Potato Mash,Salmon Fillet; Sweet Potato; Asparagus; Extra Virgin Olive Oil,Salmon with sweet potato mash and asparagus
dinner,tia-clair-toomey,Seared Beef Sirloin with White Rice and Mixed Greens,Beef Sirloin; White Rice; Mixed Greens; Cherry Tomatoes; Avocado Oil; Lemon,"A pan-seared beef sirloin steak over fluffy white rice alongside a simple mixed greens salad — a clean, high-protein dinner that mirrors the whole-food eating style Tia-Clair Toomey follows through her competitive season."
dinner,tia-clair-toomey,Seared Steak with Smashed Potato & Avocado,Beef Sirloin; Russet Potato; Avocado; Avocado Oil; Garlic; Rosemary,"Pan-seared beef sirloin cooked to your preferred doneness, served alongside a crispy smashed russet potato and fanned fresh avocado — a whole-food dinner built to maximize overnight protein synthesis."
dinner,jennifer-aniston,Shrimp and Quinoa Bowl,Shrimp; Quinoa; Arugula; Cherry Tomatoes; Garlic; Paprika,Paprika shrimp over quinoa and arugula
dinner,joaquin-phoenix,Simple Vegetable and Lentil Soup,Lentils; Vegetable Broth; Celery; Carrot; Yellow Onion; Bay Leaves,Simple lentil soup with carrot and celery
dinner,beyonce,Stuffed Bell Peppers with Quinoa and Black Beans,Bell Pepper; Quinoa; Black Beans; Corn; Salsa; Cumin,Peppers stuffed with quinoa and black beans
